Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption
History,PYQ mix,"किस वर्ष लंदन में धन भेजने के लिए निर्गत सिक्कों से कमाए गए लाभ से एक स्वर्ण मानक रिजर्व बनाया गया, जो कि आंशिक रूप से विनिमय में आने वाले उतार-चढ़ाव को रोकने, होने वाले व्यय को पूरा करने, और सिक्का दलाई के लिए चांदी खरीदने हेतु किया गया था-",1893,1900,1913,1925,1893
History,PYQ mix,भारतीय राष्ट्रीय कांग्रेस के किस अधिवेशन में निकासी के सिद्धांत को औपचारिक रूप से स्वीकार किया गया-,"बनारस अधिवेशन, 1905","कलकत्ता अधिवेशन, 1906","सूरत अधिवेशन, 1907",इनमें से कोई नहीं,इनमें से कोई नहीं
History,PYQ mix,बॉम्बे स्पिनिंग एंड वेविंग नाम से भारत में दूसरी कपास मिल कब स्थापित की गई थी—,1852,1848,1856,1854,1854
History,PYQ mix,होम चार्जेज या ब्रिटेन में भारतीय सरकार के खर्चे में समाहित थे-,ब्रिटिश भारतीय अधिकारियों के पेंशन,भारत के लिए खरीदे गए सैन्य एवं अन्य भंडार,रेलवे के गारंटिड ब्याज,उपर्युक्त सभी,उपर्युक्त सभी
History,PYQ mix,मुंबई प्रेसिडेंसी में व्यवस्थित भू राजस्व व्यवस्था का प्रारंभ गुजरात में उसके अधिकरण के साथ शुरू हुआ—,1800,1801,1802,1803,1803
History,PYQ mix,"किस वर्ष ""औद्योगिकी आयोग"" का गठन किया गया-",1881,1908,1916,1936,1916
History,PYQ mix,अंग्रेजों द्वारा सूरत के बन्दरगाह का अधिकरण कब किया गया—,1798,1799,1700,1800,1800
History,PYQ mix,1855 का सहारनपुर कानून किससे संबंधित था—,रैयतवाड़ी व्यवस्था,स्थाई बंदोबस्त,महालवाड़ी व्यवस्था,चुटपुट व्यवस्था,महालवाड़ी व्यवस्था
History,PYQ mix,भारत में पहली कपास मिल स्थापित की गई—,"फ़ोर्ट ग्लोस्टर, कलकत्ता","फ़ोर्ट ग्लोस्टर,बम्बई","फ़ोर्ट ग्लोस्टर,अहमदाबाद","फ़ोर्ट ग्लोस्टर, मद्रास","फ़ोर्ट ग्लोस्टर, कलकत्ता"
History,PYQ mix,निम्नलिखित में से ब्रिटिश सरकार की नीतियों के फलस्वरूप भारतीय कृषक वर्ग की निर्धनता का कौनसा कारण था-,भू-अभिजात्य वर्ग का सृजन करना।,सिंचाई के उन्नत साधनों को सुलभ कराने में उदासीन होना।,कृषक वर्ग के लिए सस्ते बीत और उर्वरक का प्रबन्ध करने में असफल होना।,ब्रिटिश शासन के अधिकतम काल में कृषक वर्ग पर अधिक भूमि कर लगाना।,ब्रिटिश शासन के अधिकतम काल में कृषक वर्ग पर अधिक भूमि कर लगाना।
History,PYQ mix,वॉरेन हेस्टिंग्ज़ को कृषक वर्ग के साथ राजस्व बंदोबस्त करने के लिए किसने सुझाव दिया-,जॉर्ज मॉन्सन,जॉन क्लेवरिंग,रिचर्ड बारवेल,फिलिप फ्रांसिस,फिलिप फ्रांसिस
History,PYQ mix,निम्नलिखित में से कौन सा एक भारत में ब्रिटिश द्वारा अपनाई गई 'होम चार्जेज' नीति को वर्णित करता है-,लंदन में इंडिया ऑफिस में सेक्रेटरी ऑफ स्टेट और उनकी स्थापना के लिए भुगतान करना,शहरी क्षेत्रों में गृह कर और कृषि कर,भारत में आधारित संरचना विकास के लिए उदिष्ट निवेश की राशि,इंग्लैंड से भारत में तैयार माल के स्थानांतरण पर आने वाला प्रभार,लंदन में इंडिया ऑफिस में सेक्रेटरी ऑफ स्टेट और उनकी स्थापना के लिए भुगतान करना
History,PYQ mix,कंपनी काल के दौरान निरउद्योगीकरण का मुख्य कारण क्या था-,भारतीय हस्तशिल्प दबाव का सामना न कर पाए।,भारतीय बाजार इंग्लैण्ड से मशीन निर्मित कम मूल्यों की वस्तुओं से सटा पड़ा था।,भारतीय शासक देशीय हस्तशिल्पों को संरक्षण प्रदान नहीं कर सके।,स्थानीय जागीरदार और जमींदार लुप्त हो चुके थे।,भारतीय बाजार इंग्लैण्ड से मशीन निर्मित कम मूल्यों की वस्तुओं से सटा पड़ा था।
History,PYQ mix,निम्नलिखित में से कौन सा कथन औद्योगिक क्रांति के द्वारा उन्नीसवीं शताब्दी के पूर्वार्ध में भारत पर पड़े प्रभाव की सही व्याख्या करता है-,भारतीय दस्तकारी उद्योग नष्ट हो गए थे।,भारत के वस्त्र उद्योग में मशीनों का बड़ी संख्या में प्रवेश हुआ।,देश के अनेक भागों में रेलवे लाइनें बिछाई गई थी।,ब्रिटिश उत्पादन के आयात पर भारी शुल्क लगाया गया था।,भारतीय दस्तकारी उद्योग नष्ट हो गए थे।
History,PYQ mix,बंबई की आयुक्त चैप्लिन ने भू-राजस्व व्यवस्था के संबंध में मूल्यवान रिपोर्ट प्रस्तुत की-,1819-20,1832-34,1821-22,1820-21,1821-22
History,PYQ mix,1836 में निम्न में से किसने मद्रास से मुंबई तक रेलवे निर्माण की बात कही थी-,जॉर्ज आर्थर,जी. टी क्लार्क,सर. ए. पी कॉटन,सर थॉमस बर्टसन,सर. ए. पी कॉटन
History,PYQ mix,प्रथम अफीम युद्ध हुआ-,1837-39,1829-32,1839-42,1840-42,1839-42
History,PYQ mix,कुटीर उद्योगों के ह्रास का इनमें से कौनसा कारण नहीं था-,कच्चे माल के दामों में हेरफेर करना भारतीय उत्पादकों और कारीगरों के लिए हानिकारक सिद्ध हुआ।,"कंपनी के वाणिज्यिक ऐजेंट,गुमाश्तों,ने बुनकरों से अपनी मनचाही राशि पर हस्ताक्षर करने को मजबूर किया।",कंपनी की पुस्तक में जिन बुनकरों का अनुबन्ध था. उन्हें किसी और के साथ काम करने की अनुमति नहीं थी।,कारीगर मूक शासकों के आश्रय पर ज्यादा निर्भर हो गए।,कारीगर मूक शासकों के आश्रय पर ज्यादा निर्भर हो गए।
History,PYQ mix,दक्षिण एशियाई कपड़ा उद्योग में गिरावट क्यों आई थी-,ब्रिटिश मिलों से प्रतियोगिता।,चीनी सामान के लिए कम दाम।,भारत में उत्पादकता में गिरावट।,बुनकर संगठनों की कमजोरी।,ब्रिटिश मिलों से प्रतियोगिता।
History,PYQ mix,बंगाल में 10 वर्षीय बंदोबस्त लागू किया गया—,1791,1792,1793,1794,1793
History,PYQ mix,आर्थिक बहाव के सिद्धांत' की बात सर्वप्रथम किसने की-,गोपालकृष्ण गोखले,मोहम्मद अली जिन्ना,दादाभाई नौरोजी,श्यामजी कृष्ण वर्मा,दादाभाई नौरोजी
History,PYQ mix,महालवाड़ी प्रथा में किसके साथ राजस्व बंदोबस्त हुआ—,किसानों के साथ,जमीदारों के साथ,जमीदारों में किसानों के साथ साझा रूप से,ग्राम समुदाय के साथ समग्र रूप से,ग्राम समुदाय के साथ समग्र रूप से
History,PYQ mix,इनमें से क्या भारत से ब्रिटेन को जाने वाली आर्थिक (धन सम्पदा) निकासी का एक घटक नहीं था-,घरेलू व्यय,ईस्ट इंडिया कंपनी के शेयरधारकों को दिया जाने वाला लाभांश,नागरिक और सैनिक व्यय,बांटो और शासन करो,बांटो और शासन करो
History,PYQ mix,किसका तर्क है कि औपनिवेशिक काल में भारत में अनौद्योगिकीरण (विऔद्योगिकीरण) नहीं हुआ-,बिपनचंद्र,अमिय बागची,अनिल सील,मॉरिस डी मॉरिस,मॉरिस डी मॉरिस
History,PYQ mix,निम्न में से कौनसा वक्तव्य औपनिवेशकालीन भारतीय निकास के स्त्रोतों के बारे में सही नहीं है-,गृह व्यय' पर बहुत ज्यादा पूंजी का लगना,इंग्लैंड से लेखन-सामग्री खरीदने की सरकारी नीति,दो बिलियन पौंड का अधिशेष फंड स्थापित करना,विदेशी कर्जे का ब्याज,दो बिलियन पौंड का अधिशेष फंड स्थापित करना
History,PYQ mix,वि-औद्योगीकरण किसको संदर्भित करता है-,पारंपरिक शहरी केन्द्रों को,रेगिस्तानी गांव,स्वदेशी शिल्प की कमी,उपरोक्त सभी,उपरोक्त सभी
History,PYQ mix,वह प्रथम भारतीय कौन था जिसने 'आर्थिक निकासी' के सिद्धांत की ब्रिटिश पार्लियामेंट के हाउस में भर्त्सना की थी-,गोपालकृष्ण गोखले,दादाभाई नौरोजी,मोहम्मद अली जिन्ना,श्यामजी कृष्ण वर्मा,दादाभाई नौरोजी
History,PYQ mix,दादाभाई नौरोजी ने किसका विरोध किया-,भारत में ब्रिटिश शासन का,भारत से धन निष्कासन का,भारत में सामाजिक कानूनों का,भारत में शिक्षा प्रणाली का,भारत से धन निष्कासन का
History,PYQ mix,पूंजीपतियों द्वारा कब फिक्की ( एफ.आई.सी.सी आई ) संगठन की स्थापना की गई थी—,1922,1924,1927,1929,1927
History,PYQ mix,किस वर्ष 'औद्योगिकी आयोग' ने अपनी रिपोर्ट प्रस्तुत की-,1916,1917,1918,1919,1918
History,PYQ mix,फिक्की (F.IC.C.I) संगठन अध्यक्ष थे-,अंबालाल साराभाई,मधुसूदन,रमेश चंद्र मजूमदार,पुरषोत्तमदास ठाकुरदास,पुरषोत्तमदास ठाकुरदास
History,PYQ mix,ब्रिटेन में कॉटन सप्लाई संगठन ( कपास आपूर्ति संघ  ) की स्थापना कब हुई थी—,1852,1855,1857,1854,1857
History,PYQ mix,"1916 में प्रस्तुत औद्योगिकी की रिपोर्ट का एक महत्वपूर्ण भाग "" सकारात्मक राज्य कार्रवाई "" किसके द्वारा लिखा था—",गोपाल गोखले,महागोविंद रानाड़े,महात्मा गाँधी,मदन मोहन मालवीय,मदन मोहन मालवीय
History,PYQ mix,किसने शिकायत की थी कि भू-राजस्व के दुष्प्रभाव के कारण एक-तिहाई बंगाल 'वनचरों क निवास योग्य जंगल' में प्रत्यावर्तित हो गया है-,लॉर्ड क्लाइव,लॉर्ड कार्नवालिस,लॉर्ड कर्जन,वारेन हेस्टिंग्स,लॉर्ड कार्नवालिस
History,PYQ mix,भारत में सबसे पहले किस गवर्नर जनरल ने दक्षिण भारत में कावेरिपट्टनम से करूड तथा मद्रास से बेंगलुरु तक रेल चलाने का सुझाव दिया—,डलहौजी,विलियम बेंटिक,ऑकलैंड,लॉर्ड कैनिंग,विलियम बेंटिक
History,PYQ mix,किसने माना कि ब्रिटिश आर्थिक नीति भारत में घृणित है-,एडम स्मिथ,दादाभाई नौरोजी,कार्ल मार्क्स,बाल गंगाधर तिलक,कार्ल मार्क्स
History,PYQ mix,भीमराव अम्बेडकर द्वारा 'The problem of the Rupee : its origin and its solution' कृति निम्न में से किस वर्ष लिखी गई थी—,1923,1926,1936,1943,1923
History,PYQ mix,भारत में अनुबंध मजदूरी व्यवस्था ( बंधुआ मजदूरी) का प्रारंभ कब हुआ—,1830,1832,1834,1836,1834
History,PYQ mix,ताराशंकर बंद्योपाध्याय के उपन्यास 'गणदेवता' में निम्न में से किस प्रथा का पतन प्रदर्शित किया गया है-,जमींदारी,रैयतवाड़ी,जजमानी,महलवाड़ी,जजमानी
History,PYQ mix,निम्नलिखित नेताओं में से कौन दादाभाई नौरोजी के निगर्मन सिद्धांत में विश्वास नहीं करता था-,बाल गंगाधर तिलक,आर. सी. दत्त,एम. जी. रानाडे,सर सैयद अहमद खान,सर सैयद अहमद खान
History,PYQ mix,बबिंगटन समिति का सम्बन्ध किससे हैं—,अकाल राहत प्रदान करने हेतु,कृषि सुधारो हेतु,भारत सरकार की वित्तीय और मुद्रा प्रणाली की जांच हेतु,प्रांतो व केंद्र के केंद्र के मध्य प्रशासनिक समन्वय हेतु,भारत सरकार की वित्तीय और मुद्रा प्रणाली की जांच हेतु
History,PYQ mix,वेल्बी आयोग ने कब अपनी रिपोर्ट प्रस्तुत की—,1907,1905,1908,1909,1908
History,PYQ mix,Tιƙαɱ αɱႦҽԃƙαɾ:\nनिम्नलिखित में उस क्षेत्र की पहचान कीजिए जहां सिंधु सभ्यता के पुरास्थल नहीं मिले हैं-,बलूचिस्तान,उत्तर-पश्चिमी सीमावर्ती प्रांत का पहाड़ी क्षेत्र,निम्न हिमालय क्षेत्र,उत्तरी महाराष्ट्र,निम्न हिमालय क्षेत्र
History,PYQ mix,"बसावन जिनके सम्पर्क में आकर यूरोपीय चित्रकला की तकनीक में रुचि लेने लगे, वे थे-",जैसुइट मिशनरी,ईरानी चित्रकार,तुर्की चित्रकार,यूरोपीय राजदूत,जैसुइट मिशनरी
History,PYQ mix,निम्नलिखित में से किस राजस्व प्रणाली को बंदोबस्त प्रणाली के रूप में भी जाना जाता है-,जबती,बटाई,नसक,कंकुट,जबती
History,PYQ mix,किस मुगल राजकुमार ने गढ़वाल के राजा के दरबार में शरण ली-,खुर्रम,मुराद,खुसरो,सुलेमान शिकोह,सुलेमान शिकोह
History,PYQ mix,हम्जनामा की चित्रकारी किसके आदेश पर बनाई गई-,अकबर,जहाँगीर,शाहजहाँ,औरंगजेब,अकबर
History,PYQ mix,"निम्नलिखित मुगल चित्रकारों में से कौनसा चित्रकार अपने चित्रों में पक्षियों, जानवरों, पेड़ों तथा फूलों के चित्रण में दक्ष था-",अब्दुस्समद,मिस्किन,मंसूर,विचित्तर,मंसूर
History,PYQ mix,द ग्रेट फर्म थियरी ऑफ द डिकनाइलन ऑफ द मुगल एम्पायर' का लेखक है-,केरन लियोनार्ड,के.ए. निज़ामी,पी.ई. राबर्ट्स,एस.ए.ए. रिजवी,केरन लियोनार्ड
History,PYQ mix,प्रसिद्ध प्रेम कथा 'हीर रांझा' की रचना किसने की-,सचल सरमस्त,वारिस शाह,अब्दुल लतीफ,सामी,वारिस शाह
History,PYQ mix,किस मुगल बादशाह के काल में मुगल चित्रकला में प्राकृतिक दृश्यों का चित्रण अपनी पराकाष्ठा पर रखा गय था-,हुमायूँ,अकबर,जहाँगीर,शाहजहाँ,जहाँगीर
History,PYQ mix,किस कला मर्मज्ञ ने जहाँगीर को 'मुगल चित्रकला की आत्मा' कहा है-,रायकृष्णदास,कुमारस्वामी,पर्सी ब्राउन,मोतीचन्द्र,पर्सी ब्राउन
History,PYQ mix,निम्न में से कौन सा शहर मुगल काल में एक महत्वपूर्ण व्यापारिक केन्द्र नहीं था-,लाहौर,आगरा,बुरहानपुर,गोलकुण्डा,गोलकुण्डा
History,PYQ mix,निम्नलिखित में से कौनसी चित्रकला भारतीय पर्शियन एवं इस्लामिक शैली का एक अनूठा मिश्रण प्रस्तुत करती है-,पहाड़ी,राजस्थानी,गुजराती,मुग़ल,मुग़ल
History,PYQ mix,हुमायूँ व खान-ए-खाना के मकबरे की वास्तुकलां से प्रेरित होने वाला ताजमहल का वास्तुकार था-,मुहम्मद हनीफ,उस्ताद ईसा,अमानत खान,उस्ताद अहमद,उस्ताद अहमद
History,PYQ mix,निम्नलिखित में से किसके शासनकाल में मीर सैय्यद अली भारत आया था-,बाबर,अकबर,हुमायूँ,जहाँगीर,हुमायूँ
History,PYQ mix,शाहजहाँ के काल में मुगल चित्रकला का आकर्षण बिन्दु हो गया-,प्रकृति,व्यक्तिवादी,धर्म,पंजाब की लोक कथाएँ,व्यक्तिवादी
History,PYQ mix,"मुगलकालीन चित्रकार, जो शिकार के चित्र बनाने में निपुण था-",मनोहर,मंसूर,बिशनदास,मुहम्मद नादिर,मनोहर
History,PYQ mix,मुगल दरबार में यूरोपीय चित्रकला का प्रवेश किसने कराया-,पुर्तगाली,डच,अंग्रेज,फ्रांसीसी,पुर्तगाली
History,PYQ mix,निम्नलिखित में से मुगल चित्रशैली में कौनसा कलाकार पशु आकृक्तियों के लिये सुप्रसिद्ध था-,माणकू,मंसूर,निहालचन्द,बसावन,मंसूर
History,PYQ mix,अकबर कालीन किस भवन/किस भवनों की स्थापत्य योजना को बौद्ध स्थापत्य से प्रेरणा मिली थी-,फतेहपुर सीकरी का पंचमहल,सिकन्दरा में अकबर का मकबरा,उपर्युक्त (1) और (2) दोनों,फतेहपुर सीकरी में इबादतखाना,उपर्युक्त (1) और (2) दोनों
History,PYQ mix,निम्नलिखित में से अकबर की विजयों के बारे में तिथि क्रमानुसार कौन सा सही है-,"मेड़ता, चुनार, रणथम्भोर, कालिंजर.","चुनार, मेड़ता, रणथम्भोर, कालिंजर","रणथम्भोर, चुनार, कालिंजर, मेड़ता","कालिंजर, चुनार, रणथम्भोर, मेड़ता","चुनार, मेड़ता, रणथम्भोर, कालिंजर"
History,PYQ mix,"इनमें से किसके पास अकबरी रामायण की प्रति थी, जिसकी उन्होंने सत्रहवीं शताब्दी की शुरूआत में, एक प्रतिलिपि तैयार करने और उसके सचित्रण हेतु अपनी शिल्पशाला को निर्देश दिया था-",अबुल फजल,फैज़ी,अब्दुर रहीम खानखाना,मुनीम खान,अब्दुर रहीम खानखाना
History,PYQ mix,"पक्षियों, पशुओं एवं फूलों के अपने चित्रांकन के लिए खासतौर पर विख्यात मुगल शैली का चित्रकार था-",विचित्र,मिस्किल,अब्दुस समद,उस्ताद मंसूर,उस्ताद मंसूर
History,PYQ mix,किस सिक्ख गुरु को जहाँगीर ने कैद किया-,गुरु अर्जुनदेव,गुरु हरगोविंद,गुरु हरसहाय,गुरु तेग बहादुर,गुरु हरगोविंद
History,PYQ mix,ताजमहल पर कुरान की आयतें लिखने वाला सुलेखक था-,अब्द अल हक अमानत खान शिराजी,उस्ताद अहमद लाहोरी,मीर अब्दुल करीम,उस्ताद अहमद अब्दुल्ला शिराजी,अब्द अल हक अमानत खान शिराजी
History,PYQ mix,किस मुगल बादशाह ने 'वकील' का पद शक्तिहीन बना दिया-,अकबर,जहाँगीर,शाहजहाँ,हुमायूँ,अकबर
History,PYQ mix,निम्नलिखित में से कौन सा युग्म सुमेलित नहीं है-,तीर्थ यात्रा कर का उन्मूलन-1562,जजिया का उन्मूलन-1564,महज़र की उद्घोषणा-1580,दीन-ए-ईलाही की स्थापना - 1582,तीर्थ यात्रा कर का उन्मूलन-1562
History,PYQ mix,मध्यकाल में निम्नलिखित में से कौन-सी यूरोपियन शक्ति ने भारत से व्यापारिक संबंध स्थापित किए-,पुर्तगाली,अंग्रेज,डच,फ्रांसीसी,पुर्तगाली
History,PYQ mix,निम्नलिखित में से हमजानामा चित्र के प्रसिद्ध कार्य के रूप में जाना जाता है-,बाबर काल,अकबर काल,शाहजहाँ काल,जहाँगीर काल,अकबर काल
History,PYQ mix,चित्रकार साइफाबानो व नादिराबानो किसके शासनकाल में हुई थी-,अकबर,जहांगीर,शाहजहां,औरंगजेब,जहांगीर
History,PYQ mix,1560 ई; के पश्चात् अकबर का पहला और अन्तिम विजय अभियान क्रमशः था-,गुजरात; खानदेश,मालवा; मेड़ता,मालवा; असीरगढ़,कढकटंगा; काबुल,मालवा; असीरगढ़
History,PYQ mix,बदायूँनी के अनुसार अकबर ने जजिया किस वर्ष समाप्त किया था-,1579,1580,1564,1575,1579
History,PYQ mix,नीचे दिए विकल्पों में से सही उत्तर का चयन कीजिए :,"(A)-(II), (Bi)-(IV), (C)-(I), (D)-(III)","(A)-(IV), (B)-(III), (C)-(II), (D)-(I)","(A)-(II), (B)-(I), (C)-(IV), (D)-(II)","(A)-(III), (B)-(II), (C)-(III), (D)-(IV)","(A)-(IV), (B)-(III), (C)-(II), (D)-(I)"
History,PYQ mix,किसको जहाँगीर ने 'नादिर-उल-असर' की उपाधि दी-,अबुज फजल,अब्दुल समद,आकारिजा,उस्ताद मंसूर,उस्ताद मंसूर
History,PYQ mix,बाग-ए-निलोफर' का निर्माण किस मुगल शासक ने करवाया-,शाहजहाँ,जहाँगीर,अकबर,बाबर,बाबर
History,PYQ mix,मुगल बादशाह जिसने पहली बार उर्दू को प्रोत्साहित किया-,शाहजहाँ,मुहम्मद शाह,औरंगजेब,बहादुर शाह,मुहम्मद शाह
History,PYQ mix,नीचे दिए गए विकल्पों में से सही उत्तर का चयन कीजिए-,"(A)-(iii), (B)-(i), (C)-(iv), (D)-(ii)","(A)-(ii), (B)-(iv), (C)-(iii), (D)-(i)","(A)-(iv), (B)-(ii), (C)-(i), (D)-(iii)","(A)-(i), (B)-(iii), (C)-(ii), (D)-(iv)","(A)-(iii), (B)-(i), (C)-(iv), (D)-(ii)"
History,PYQ mix,निम्नलिखित में से कौन एक चित्रकार था-,अकबर,जहाँगीर,हुमायूँ,शाहजहाँ,जहाँगीर
History,PYQ mix,अकबरकालीन निम्नांकित घटनाओं में कौन-सा युग्म सही सुमेलित नहीं है-,मेड़ता को हस्तगत करना - 1562,असीरगढ़ का घेरा - 1601,गोड़वाना की विजय - 1564,उड़ीसा की विजय - 1582,उड़ीसा की विजय - 1582
History,PYQ mix,निम्न में से किस मुगल पाण्डुलिपि को अकबर ने सर्वप्रथम चित्रित करने का आदेश दिया था-,हम्जानामा,तारीख-ए खानदान ए तैमूरिया,बाबरनामा,रज्मनामा,हम्जानामा
History,PYQ mix,सियाही कलम या नीम कलम तकनीक निम्नलिखित में से किस क्षेत्र से चित्रकारों द्वारा भारत में लाई गई-,अरेबिया,ईरान,ट्रांसऑक्सियाना,तुर्की,ट्रांसऑक्सियाना
History,PYQ mix,शाहजादा सलीम के रूप में जहांगीर ने किस स्थान पर अपनी स्वतंत्र चित्रकला की कार्यशाला स्थापित की थी-,इलाहाबाद,अवध,ग्वालियर,मांडू,इलाहाबाद
History,PYQ mix,वह कौनसा हिन्दू चित्रकार था जो जहांगीर द्वारा ईरान के शाह अब्बास प्रथम का छायाचित्र बनाने के लिए भेजा गया था-,बसावन,दसरथ,बिशनदास,मनोहर,बिशनदास
History,PYQ mix,जागीर क्या है-,कोई जो चोरी करता है।,सामंत का दूसरा नाम,भूमि का टुकड़ा,संगीत वाद्ययंत्र,भूमि का टुकड़ा
History,PYQ mix,निम्नलिखित में से किस शासक के अधीन 'तूतीनामा' को चित्रित किया गया था-,अकबर,शाहजहाँ,जहाँगीर,हुमायूँ,अकबर
History,PYQ mix,नीचे दिए गए विकल्पों में से सही उत्तर का चयन कीजिए:,"(A)-(iii), (B)-(ii), (C)-(iv), (D)-(i)","(A)-(ii), (B)-(iv), (C)-(i), (D)-(iii)","(A)-(i), (B)-(ii), (C)-(iii), (D)-(vi)","(A)-(iv), (B)-(i), (C)-(ii), (D)-(iii)","(A)-(ii), (B)-(iv), (C)-(i), (D)-(iii)"
History,PYQ mix,निम्नलिखित ईरानी चित्रकारों में से पिता-पुत्र का कौन-सा जोड़ा हुमायूं के दरबार में था-,मीर मुसव्विर और सैय्यद अली,दस्त मुहम्मद और सैय्ययद अली,अब्दुस समद और सैय्यद अली,मीर मुसव्विर और अब्दुस सैय्ययद,मीर मुसव्विर और सैय्यद अली
History,PYQ mix,निम्नलिखित अधिकारियों में से कौन मुगल कालीन भारत में शहरों के प्रशासन से संबद्ध नहीं था-,नाज़िम,कोतवाल,काजी,मीर-ए-अदुल,नाज़िम
History,PYQ mix,हबीब-अल-सियार' किसने लिखी-,मिर्जा हैदर दुगलत,जुतुद्दीन ख्वाजा,ख्वांद मीर,हुसैन मिर्जा,ख्वांद मीर
History,PYQ mix,निम्नलिखित में से कौन सा चित्रकार अकबर के दरबार से संबद्ध नहीं था-,बिसनदास,सैय्यद अली,बसावन,मुकुन्द,बिसनदास
History,PYQ mix,मुगल प्रशासन में मीर बहरी (मीर ए बहर) किसे कहते हैं-,राजस्व विभाग के प्रमुख को,शाही जहाजों के प्रभारी को,शाही परिवार के प्रमुख को,शाही परिवार के समारोहों के प्रभारी को,शाही जहाजों के प्रभारी को
History,PYQ mix,निम्नलिखित में से किस स्थान पर अकबर का मकबरा स्थित है-,आगरा,सिकन्दरा,फतेहपुर सीकरी,दिल्ली,सिकन्दरा
History,PYQ mix,निम्नलिखित राजपूतों में से किसने सबसे पहले स्वेच्छा से अकबर की अधीनता स्वीकार की-,हदस,सिसोदिया,राठौर,कच्छवाह,कच्छवाह
History,PYQ mix,हुमायूं के दरबार में नियुक्त होने से पहले मीर सैयद अली ने अपना कौन सा चित्र बनाया था-,अ यंग प्रिन्स राइडिंग,काउ एंड काफ,स्कूल सीन,अ मेनुस्क्रिप्ट अटेलियर,स्कूल सीन
History,PYQ mix,मुगलकालीन भारत की शहरी आबादी 1601 के लगभग थी-,12 प्रतिशत,13 प्रतिशत,14 प्रतिशत,15 प्रतिशत,15 प्रतिशत
History,PYQ mix,निम्नलिखित में से कौन-सा शासक दो बार गद्दी पर बैठा था-,जहाँगीर,हुमायूँ,अकबर,शाहजहाँ,हुमायूँ
History,PYQ mix,मुगल काल में सुखेत मंडी प्रसिद्ध थी-,नील उत्पादन केन्द्र के रूप में,ताँबे की खानों के कारण,तलवार निर्माण केन्द्र होने के कारण,इरी सिल्क के कारण,ताँबे की खानों के कारण
History,PYQ mix,"1570 ई; की कृति 'नुजूम-उल-उल्म' की प्रसिद्धि का कारण उसका चित्र संग्रह है, जो मुख्यतः किस शैली के हैं-",राजस्थानी,दक्कनी,मुगल,पहाड़ी,दक्कनी
History,PYQ mix,मध्यकालीन भारत में पाई काश्त किन्हें कहा जाता था-,उत्तरी भारत में कृषि भूमि के मालिक को,उत्तरी भारत में भूमिहीन किसान को,उत्तरी भारत में सामन्तों को,दक्षिणी भारत के भूमिहीन किसान को,उत्तरी भारत में भूमिहीन किसान को
History,PYQ mix,कुमाऊँ का कौन सा शासक शाहजहाँ के दरबार में उपस्थित हुआ?,रूद्र चंद्र,ज्ञान चंद,बाजबहादुर चंद,कीर्तिचंद,बाजबहादुर चंद
History,PYQ mix,मुगलकाल में भारत से निर्यात का अधिकतम भाग किस वस्तु का था-,सूती वस्त्र,सोना,शक्कर,ताम्बा,सूती वस्त्र
History,PYQ mix,निम्नांकित चित्रकारों में से जहाँगीर ने किसे नादिर-उज़-ज़मा की उपाधि प्रदान की थी-,अबुल हसन,बिशनदास,मंसूर,मनोहर,अबुल हसन
History,PYQ mix,निम्नलिखित में से कौन-से चित्रकार बंधु अकबर के दरबार में थे-,असि-मिस्किन,नंद-रामदास,मुखलिस-अली,नन्हा-बिशनदास,असि-मिस्किन
History,PYQ mix,मुगलकालीन संस्कृत ग्रन्थ 'जानकी परिणय' का लेखक था-,जगन्नाथ कवि,धनंजय वर्मा,चक्र कवि,नाभादास,चक्र कवि
History,PYQ mix,निम्न में से कौन-सा युग्म सुमेलित नहीं है-,जहाँगीर - विलियम हॉकिन्स,अकबर - टॉमस रो,शाहजहाँ - ट्रेवरनियर,औरंगजेब - मनूची,अकबर - टॉमस रो
History,PYQ mix,"उस चित्रकार का नाम बताइए जिसने शाहजहाँ के शासनकाल के दौरान 'सूफी गायकों' की प्रसिद्ध पेंटिंग बनाई थी, जिसमें आदमियों को आम रास्तों के किनारे दर्शाया गया है। इसे मुगल काल की एक उत्कृष्ट कृति माना जाता है-",विचित्र,मंसूर,दसवंत,अब्दुस समद,विचित्र
History,PYQ mix,"मुगलकाल में चिंकारा की पारदर्शी खाल के टुकड़े पर अनुरेखण करके रेखाचित्र बनाया जाता था, इसे क्या कहा जाता था-",चरबा,किता,कलम,खत,चरबा
History,PYQ mix,दीवान-ए-वज़ीरात-ए-कुल नाम के नये पद का गठन किया था-,शाहजहाँ ने,औरंगजेब ने,अकबर ने,जहाँगीर ने,अकबर ने
History,PYQ mix,"बाबर ने भारत में नई सैन्य युक्तियों को शुरू किया। इनमें छकड़ों/गाड़ियों को लोहे की चेनों से बांध कर रखना, उन्हें खाइयों से सुरक्षित करना और बगली दस्ते (तुलगुमा) मुहैया कराने जैसी युक्तियाँ शामिल थीं-",ऑटोमन तथा सफाविदों से,ऑटोमन और उजबेकों से,चीन और मध्य एशिया से,उजबेकों और सफाविदों से,ऑटोमन और उजबेकों से
